
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Kyrie Irving,PG,6-3,193,March 23 1992,,4,Duke University
23,LeBron James,SF,6-8,250,December 30 1984,,12,
9,Channing Frye,C,6-11,255,May 17 1983,,9,University of Arizona
20,Timofey Mozgov,C,7-1,275,July 16 1986,,5,
0,Kevin Love,PF,6-10,251,September 7 1988,,7,University of California Los Angeles
4,Iman Shumpert,SG,6-5,220,June 26 1990,,4,Georgia Institute of Technology
52,Mo Williams,PG,6-1,198,December 19 1982,,12,University of Alabama
24,Richard Jefferson,SF,6-7,233,June 21 1980,,14,University of Arizona
1,James Jones,SF,6-8,218,October 4 1980,,12,University of Miami
8,Matthew Dellavedova,SG,6-4,198,September 8 1990,,2,Saint Mary's College of California
5,J.R. Smith,SG,6-6,225,September 9 1985,,11,
14,Sasha Kaun,C,6-11,260,May 8 1985,,R,University of Kansas
13,Tristan Thompson,PF,6-9,238,March 13 1991,,4,University of Texas at Austin
12,Jordan McRae,PG,6-6,185,March 28 1991,,R,University of Tennessee
30,Dahntay Jones,SF,6-6,225,December 27 1980,,11,Duke University
