
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,,17,
11,JaVale McGee,C,7-0,270,January 19 1988,,7,University of Nevada Reno
25,Chandler Parsons,SF,6-9,227,October 25 1988,,4,University of Florida
2,Raymond Felton,PG,6-1,205,June 26 1984,,10,University of North Carolina
34,Devin Harris,PG,6-3,192,February 27 1983,,11,University of Wisconsin
7,Dwight Powell,PF,6-11,240,July 20 1991,,1,Stanford University
1,Justin Anderson,SG,6-6,228,November 19 1993,,R,University of Virginia
23,Wesley Matthews,SG,6-5,220,October 14 1986,,6,Marquette University
5,J.J. Barea,PG,6-0,185,June 26 1984,,9,Northeastern University
3,Charlie Villanueva,PF,6-11,232,August 24 1984,,10,University of Connecticut
21,Jeremy Evans,SF,6-9,196,October 24 1987,,5,Western Kentucky University
27,Zaza Pachulia,C,6-11,270,February 10 1984,,12,
8,Deron Williams,PG,6-3,200,June 26 1984,,10,University of Illinois at Urbana-Champaign
50,Salah Mejri,C,7-1,245,June 15 1986,,R,
42,David Lee,PF,6-9,245,April 29 1983,,10,University of Florida
