
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Danilo Gallinari,SF,6-10,225,August 8 1988,,6,
,Wilson Chandler,F,6-8,225,May 10 1987,,8,DePaul University
35,Kenneth Faried,PF,6-8,228,November 19 1989,,4,Morehead State University
12,D.J. Augustin,PG,6-0,183,November 10 1987,,7,University of Texas at Austin
14,Gary Harris,SG,6-4,210,September 14 1994,,1,Michigan State University
23,Jusuf Nurkic,C,7-0,280,August 23 1994,,1,
77,Joffrey Lauvergne,C,6-11,220,September 30 1991,,1,
0,Emmanuel Mudiay,PG,6-5,200,March 5 1996,,R,
1,Jameer Nelson,PG,6-0,190,February 9 1982,,11,Saint Joseph's University
15,Nikola Jokic,C,6-10,250,February 19 1995,,R,
5,Will Barton,SG,6-6,175,January 6 1991,,3,University of Memphis
00,Darrell Arthur,PF,6-9,235,March 25 1988,,6,University of Kansas
3,Mike Miller,SF,6-8,218,February 19 1980,,15,University of Florida
9,JaKarr Sampson,SF,6-9,214,March 20 1993,,1,St. John's University
6,Axel Toupane,SF,6-7,197,July 23 1992,,R,
