
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Andre Drummond,C,6-11,279,August 10 1993,,3,University of Connecticut
5,Kentavious Caldwell-Pope,SG,6-5,205,February 18 1993,,2,University of Georgia
25,Reggie Bullock,SF,6-7,205,March 16 1991,,2,University of North Carolina
22,Steve Blake,PG,6-3,172,February 26 1980,,12,University of Maryland
20,Jodie Meeks,SG,6-4,208,August 21 1987,,6,University of Kentucky
13,Marcus Morris,SF,6-9,235,September 2 1989,,4,University of Kansas
43,Anthony Tolliver,PF,6-8,240,June 1 1985,,7,Creighton University
8,Spencer Dinwiddie,PG,6-6,200,April 6 1993,,1,University of Colorado
3,Stanley Johnson,SF,6-7,245,May 29 1996,,R,University of Arizona
12,Aron Baynes,C,6-10,260,December 9 1986,,3,Washington State University
34,Tobias Harris,PF,6-9,235,July 15 1992,,4,University of Tennessee
1,Reggie Jackson,PG,6-3,208,April 16 1990,,4,Boston College
50,Joel Anthony,C,6-9,245,August 9 1982,,8,University of Nevada Las Vegas
6,Darrun Hilliard,SF,6-6,205,April 13 1993,,R,Villanova University
,Lorenzo Brown,G,6-5,189,August 26 1990,,2,North Carolina State University
