
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Andrew Bogut,C,7-0,260,November 28 1984,,10,University of Utah
30,Stephen Curry,PG,6-3,185,March 14 1988,,6,Davidson College
4,Brandon Rush,SG,6-6,210,July 7 1985,,7,University of Kansas
40,Harrison Barnes,SF,6-8,210,May 30 1992,,3,University of North Carolina
11,Klay Thompson,SG,6-7,205,February 8 1990,,4,Washington State University
31,Festus Ezeli,C,6-11,255,October 21 1989,,2,Vanderbilt University
9,Andre Iguodala,SG,6-6,207,January 28 1984,,11,University of Arizona
34,Shaun Livingston,PG,6-7,182,September 11 1985,,10,
5,Marreese Speights,PF,6-10,255,August 4 1987,,7,University of Florida
20,James Michael McAdoo,PF,6-9,230,January 4 1993,,1,University of North Carolina
36,Kevon Looney,PF,6-9,220,February 6 1996,,R,University of California Los Angeles
23,Draymond Green,PF,6-7,230,March 4 1990,,3,Michigan State University
19,Leandro Barbosa,SG,6-3,194,November 28 1982,,12,
21,Ian Clark,SG,6-3,175,March 7 1991,,2,Belmont University
18,Anderson Varejao,C,6-10,273,September 28 1982,,11,
