
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,James Harden,SG,6-5,220,August 26 1989,,6,Arizona State University
6,Terrence Jones,PF,6-9,252,January 9 1992,,3,University of Kentucky
20,Donatas Motiejunas,PF,7-0,222,September 20 1990,,3,
1,Trevor Ariza,SF,6-8,215,June 30 1985,,11,University of California Los Angeles
12,Dwight Howard,C,6-11,265,December 8 1985,,11,
15,Clint Capela,C,6-10,240,May 18 1994,,1,
7,Sam Dekker,SF,6-9,230,May 6 1994,,R,University of Wisconsin
2,Patrick Beverley,PG,6-1,185,July 12 1988,,3,University of Arkansas
33,Corey Brewer,SF,6-9,186,March 5 1986,,8,University of Florida
5,Josh Smith,PF,6-9,225,December 5 1985,,11,
32,K.J. McDaniels,SG,6-6,205,February 9 1993,,1,Clemson University
31,Jason Terry,SG,6-2,185,September 15 1977,,16,University of Arizona
35,Montrezl Harrell,PF,6-8,240,January 26 1994,,R,University of Louisville
8,Michael Beasley,SF,6-9,235,January 9 1989,,7,Kansas State University
0,Andrew Goudelock,PG,6-3,200,December 7 1988,,2,College of Charleston
