
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,C.J. Miles,SF,6-6,231,April 18 1987,,10,
3,George Hill,PG,6-3,188,May 4 1986,,7,Indiana University-Purdue University Indianapolis
28,Ian Mahinmi,C,6-11,250,November 5 1986,,7,
13,Paul George,PF,6-9,220,May 2 1990,,5,California State University Fresno
44,Solomon Hill,SF,6-7,225,March 18 1991,,2,University of Arizona
33,Myles Turner,C,6-11,243,March 24 1996,,R,University of Texas at Austin
11,Monta Ellis,SG,6-3,185,October 26 1985,,10,
5,Lavoy Allen,PF,6-9,255,February 4 1989,,4,Temple University
2,Rodney Stuckey,PG,6-5,205,April 21 1986,,8,Eastern Washington University
27,Jordan Hill,PF,6-10,235,July 27 1987,,6,University of Arizona
40,Glenn Robinson III,PF,6-7,222,January 8 1994,,1,University of Michigan
25,Rakeem Christmas,PF,6-9,250,December 1 1991,,R,Syracuse University
42,Shayne Whittington,PF,6-11,250,March 27 1991,,1,Western Michigan University
1,Joseph Young,PG,6-2,180,June 27 1992,,R,University of Oregon
10,Ty Lawson,PG,5-11,195,November 3 1987,,6,University of North Carolina
