
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
32,Blake Griffin,PF,6-10,251,March 16 1989,,5,University of Oklahoma
11,Jamal Crawford,SG,6-5,195,March 20 1980,,15,University of Michigan
4,J.J. Redick,SG,6-4,190,June 24 1984,,9,Duke University
3,Chris Paul,PG,6-0,175,May 6 1985,,10,Wake Forest University
30,C.J. Wilcox,SG,6-5,195,December 30 1990,,1,University of Washington
34,Paul Pierce,SF,6-7,235,October 13 1977,,17,University of Kansas
6,DeAndre Jordan,C,6-11,265,July 21 1988,,7,Texas A&amp;M University
33,Wesley Johnson,SF,6-7,215,July 11 1987,,5,Syracuse University
25,Austin Rivers,SG,6-4,200,August 1 1992,,3,Duke University
8,Jeff Green,SF,6-9,235,August 28 1986,,7,Georgetown University
45,Cole Aldrich,C,6-11,250,October 31 1988,,5,University of Kansas
9,Pablo Prigioni,PG,6-3,185,May 17 1977,,3,
22,Branden Dawson,PF,6-6,225,February 1 1993,,R,Michigan State University
12,Luc Mbah a Moute,PF,6-8,230,September 9 1986,,7,University of California Los Angeles
19,Jeff Ayres,C,6-9,240,April 29 1987,,5,Arizona State University
