
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Vince Carter,SG,6-6,220,January 26 1977,,17,University of North Carolina
1,Lance Stephenson,SF,6-5,230,September 5 1990,,5,University of Cincinnati
50,Zach Randolph,PF,6-9,260,July 16 1981,,14,Michigan State University
33,Marc Gasol,C,7-1,255,January 29 1985,,7,
11,Mike Conley,PG,6-1,175,October 11 1987,,8,Ohio State University
7,Chris Andersen,C,6-10,245,July 7 1978,,13,Blinn College
22,Matt Barnes,SF,6-7,226,March 9 1980,,12,University of California Los Angeles
9,Tony Allen,SF,6-4,213,January 11 1982,,11,Oklahoma State University
19,P.J. Hairston,SF,6-6,230,December 24 1992,,1,University of North Carolina
3,Jordan Adams,SG,6-5,209,July 8 1994,,1,University of California Los Angeles
0,JaMychal Green,PF,6-9,227,June 21 1990,,1,University of Alabama
10,Jarell Martin,PF,6-10,239,May 24 1994,,R,Louisiana State University
34,Brandan Wright,PF,6-10,210,October 5 1987,,7,University of North Carolina
4,Jordan Farmar,PG,6-2,180,November 30 1986,,8,University of California Los Angeles
14,Xavier Munford,SG,6-3,180,June 1 1992,,R,University of Rhode Island
