
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Luol Deng,SF,6-9,220,April 16 1985,,11,Duke University
1,Chris Bosh,PF,6-11,235,March 24 1984,,12,Georgia Institute of Technology
4,Josh McRoberts,PF,6-10,240,February 28 1987,,8,Duke University
40,Udonis Haslem,PF,6-8,235,June 9 1980,,12,University of Florida
8,Tyler Johnson,SG,6-4,186,May 7 1992,,1,California State University Fresno
21,Hassan Whiteside,C,7-0,265,June 13 1989,,3,Marshall University
20,Justise Winslow,SF,6-7,225,March 26 1996,,R,Duke University
7,Goran Dragic,SG,6-3,190,May 6 1986,,7,
3,Dwyane Wade,SG,6-4,220,January 17 1982,,12,Marquette University
14,Gerald Green,SG,6-7,205,January 26 1986,,8,
0,Josh Richardson,SG,6-6,200,September 15 1993,,R,University of Tennessee
5,Amar'e Stoudemire,C,6-10,245,November 16 1982,,13,
2,Joe Johnson,SF,6-7,240,June 29 1981,,14,University of Arkansas
25,Briante Weber,PG,6-2,165,December 29 1992,,R,Virginia Commonwealth University
,Dorell Wright,F-G,6-9,205,December 2 1985,,11,
