
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Luol Deng,30,74,73,2394,339,746,.454,88,257,.342,251,489,.513,.513,145,192,.755,108,335,443,140,74,29,81,122,911
2,Goran Dragic,29,72,72,2363,417,875,.477,64,205,.312,353,670,.527,.513,120,165,.727,54,223,277,419,71,17,185,188,1018
3,Dwyane Wade,34,74,73,2258,540,1183,.456,7,44,.159,533,1139,.468,.459,322,406,.793,82,220,302,344,79,42,203,116,1409
4,Justise Winslow,19,78,8,2232,195,462,.422,32,116,.276,163,346,.471,.457,80,117,.684,81,322,403,117,68,26,95,184,502
5,Hassan Whiteside,26,73,43,2125,413,682,.606,0,0,,413,682,.606,.606,214,329,.650,238,627,865,30,44,269,137,201,1040
6,Chris Bosh,31,53,53,1778,358,767,.467,81,222,.365,277,545,.508,.520,213,268,.795,48,342,390,128,36,34,78,101,1010
7,Gerald Green,30,69,14,1557,230,587,.392,84,260,.323,146,327,.446,.463,72,92,.783,25,138,163,56,38,19,46,123,616
8,Josh Richardson,22,52,2,1107,123,272,.452,53,115,.461,70,157,.446,.550,42,63,.667,21,86,107,73,36,25,35,107,341
9,Tyler Johnson,23,36,5,863,118,242,.488,27,70,.386,91,172,.529,.543,51,64,.797,28,81,109,79,24,14,47,66,314
10,Joe Johnson,34,24,24,769,130,251,.518,35,84,.417,95,167,.569,.588,26,34,.765,15,53,68,86,21,2,43,46,321
11,Amar'e Stoudemire,33,52,36,762,125,221,.566,0,0,,125,221,.566,.566,50,67,.746,65,157,222,27,18,41,47,92,300
12,Josh McRoberts,28,42,1,595,55,148,.372,12,49,.245,43,99,.434,.412,28,40,.700,22,83,105,81,18,7,30,68,150
13,Beno Udrih,33,36,5,587,66,152,.434,11,33,.333,55,119,.462,.470,15,17,.882,6,57,63,90,11,0,42,40,158
14,Udonis Haslem,35,37,0,260,23,61,.377,1,9,.111,22,52,.423,.385,12,16,.750,10,65,75,14,5,2,5,25,59
15,Mario Chalmers,29,6,0,120,10,32,.313,1,11,.091,9,21,.429,.328,12,13,.923,1,13,14,19,8,1,9,16,33
16,Chris Andersen,37,7,1,36,4,10,.400,2,5,.400,2,5,.400,.500,3,4,.750,3,6,9,3,1,3,2,4,13
17,Jarnell Stokes,22,5,0,14,3,5,.600,0,0,,3,5,.600,.600,1,2,.500,0,2,2,1,1,0,0,1,7
18,James Ennis,25,3,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,1,0
19,Briante Weber,23,1,0,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,1,0,0,0,1,2
,Team Totals,,82,,19830,3150,6697,.470,498,1480,.336,2652,5217,.508,.508,1406,1889,.744,807,2811,3618,1709,553,531,1155,1502,8204
