
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
18,Miles Plumlee,C,6-11,249,September 1 1988,,3,Duke University
19,Jerryd Bayless,SG,6-3,200,August 20 1988,,7,University of Arizona
31,John Henson,C,6-11,229,December 28 1990,,3,University of North Carolina
34,Giannis Antetokounmpo,SF,6-11,222,December 6 1994,,2,
21,Greivis Vasquez,PG,6-6,217,January 16 1987,,5,University of Maryland
5,Michael Carter-Williams,PG,6-6,190,October 10 1991,,2,Syracuse University
3,O.J. Mayo,SG,6-5,210,November 5 1987,,7,University of Southern California
12,Jabari Parker,PF,6-8,250,March 15 1995,,1,Duke University
11,Tyler Ennis,PG,6-3,194,August 24 1994,,1,Syracuse University
17,Damien Inglis,SF,6-8,246,May 20 1995,,R,
77,Johnny O'Bryant,PF,6-9,257,June 1 1993,,1,Louisiana State University
20,Rashad Vaughn,SG,6-6,202,August 16 1996,,R,University of Nevada Las Vegas
22,Khris Middleton,SG,6-8,234,August 12 1991,,3,Texas A&amp;M University
15,Greg Monroe,C,6-11,265,June 4 1990,,5,Georgetown University
6,Steve Novak,PF,6-10,225,June 13 1983,,9,Marquette University
