
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
,Quincy Pondexter,G-F,6-7,220,March 10 1988,,5,University of Washington
10,Eric Gordon,SG,6-4,215,December 25 1988,,7,Indiana University
33,Ryan Anderson,PF,6-10,240,May 6 1988,,7,University of California
23,Anthony Davis,PF,6-10,253,March 11 1993,,3,University of Kentucky
11,Jrue Holiday,PG,6-4,205,June 12 1990,,6,University of California Los Angeles
1,Tyreke Evans,PG,6-6,220,September 19 1989,,6,University of Memphis
42,Alexis Ajinca,C,7-2,248,May 6 1988,,5,
3,Omer Asik,C,7-0,255,July 4 1986,,5,
44,Dante Cunningham,SF,6-8,230,April 22 1987,,6,Villanova University
8,Luke Babbitt,SF,6-9,225,June 20 1989,,5,University of Nevada Reno
15,Alonzo Gee,SF,6-6,225,May 29 1987,,6,University of Alabama
5,Kendrick Perkins,C,6-10,270,November 10 1984,,12,
30,Norris Cole,PG,6-2,175,October 13 1988,,4,Cleveland State University
16,Toney Douglas,PG,6-2,195,March 16 1986,,6,Florida State University
31,Bryce Dejean-Jones,SG,6-6,209,August 21 1992,,R,Iowa State University
2,Tim Frazier,PG,6-1,170,November 1 1990,,1,Pennsylvania State University
4,James Ennis,SF,6-7,210,July 1 1990,,1,California State University Long Beach
25,Jordan Hamilton,SF,6-7,220,October 6 1990,,4,University of Texas at Austin
