
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Carmelo Anthony,SF,6-8,240,May 29 1984,,12,Syracuse University
3,Jose Calderon,PG,6-3,200,September 28 1981,,10,
11,Cleanthony Early,SF,6-8,210,April 17 1991,,1,Wichita State University
2,Langston Galloway,PG,6-2,200,December 9 1991,,1,Saint Joseph's University
6,Kristaps Porzingis,PF,7-3,240,August 2 1995,,R,
13,Jerian Grant,PG,6-4,195,October 9 1992,,R,University of Notre Dame
4,Arron Afflalo,SG,6-5,210,October 15 1985,,8,University of California Los Angeles
9,Kyle O'Quinn,PF,6-10,250,March 26 1990,,3,Norfolk State University
23,Derrick Williams,PF,6-8,240,May 25 1991,,4,University of Arizona
8,Robin Lopez,C,7-0,255,April 1 1988,,7,Stanford University
17,Lou Amundson,PF,6-9,220,December 7 1982,,9,University of Nevada Las Vegas
18,Sasha Vujacic,SG,6-7,195,March 8 1984,,8,
1,Kevin Seraphin,C,6-10,278,December 7 1989,,5,
42,Lance Thomas,SF,6-8,235,April 24 1988,,4,Duke University
,Tony Wroten,G,6-6,205,April 13 1993,,3,University of Washington
