
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Dion Waiters,SG,6-4,225,December 10 1991,,3,Syracuse University
21,Andre Roberson,SG,6-7,210,December 4 1991,,2,University of Colorado
35,Kevin Durant,SF,6-9,240,September 29 1988,,8,University of Texas at Austin
0,Russell Westbrook,PG,6-3,200,November 12 1988,,7,University of California Los Angeles
9,Serge Ibaka,PF,6-10,245,September 18 1989,,6,
4,Nick Collison,PF,6-10,255,October 26 1980,,11,University of Kansas
12,Steven Adams,C,7-0,255,July 20 1993,,2,University of Pittsburgh
6,Randy Foye,SG,6-4,213,September 24 1983,,9,Villanova University
2,Anthony Morrow,SG,6-5,210,September 27 1985,,7,Georgia Institute of Technology
33,Mitch McGary,PF,6-10,255,June 6 1992,,1,University of Michigan
22,Cameron Payne,PG,6-3,185,August 8 1994,,R,Murray State University
5,Kyle Singler,SF,6-8,228,May 4 1988,,3,Duke University
11,Enes Kanter,C,6-11,245,May 20 1992,,4,
34,Josh Huestis,SF,6-7,230,December 19 1991,,R,Stanford University
13,Nazr Mohammed,C,6-10,221,September 5 1977,,17,University of Kentucky
