
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Nerlens Noel,PF,6-11,228,April 10 1994,,1,University of Kentucky
0,Isaiah Canaan,PG,6-0,201,May 21 1991,,2,Murray State University
7,Carl Landry,PF,6-9,248,September 19 1983,,8,Purdue University
31,Hollis Thompson,SG,6-8,206,April 3 1991,,2,Georgetown University
11,Nik Stauskas,SG,6-6,205,October 7 1993,,1,University of Michigan
,Joel Embiid,C,7-0,250,March 16 1994,,R,University of Kansas
39,Jerami Grant,SF,6-8,210,March 12 1994,,1,Syracuse University
33,Robert Covington,SF,6-9,215,December 14 1990,,2,Tennessee State University
8,Jahlil Okafor,C,6-11,275,December 15 1995,,R,Duke University
22,Richaun Holmes,PF,6-10,245,October 15 1993,,R,Bowling Green State University
12,T.J. McConnell,PG,6-2,200,March 25 1992,,R,University of Arizona
5,Kendall Marshall,PG,6-4,200,August 19 1991,,3,University of North Carolina
1,Ish Smith,PG,6-0,175,July 5 1988,,5,Wake Forest University
42,Elton Brand,PF,6-8,275,March 11 1979,,16,Duke University
35,Christian Wood,PF,6-11,220,September 27 1995,,R,University of Nevada Las Vegas
