
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Eric Bledsoe,PG,6-1,190,December 9 1989,,5,University of Kentucky
20,Archie Goodwin,SG,6-5,200,August 17 1994,,2,University of Kentucky
17,P.J. Tucker,SF,6-6,245,May 5 1985,,4,University of Texas at Austin
21,Alex Len,C,7-1,260,June 16 1993,,2,University of Maryland
30,Jon Leuer,PF,6-10,228,May 14 1989,,4,University of Wisconsin
12,T.J. Warren,SF,6-8,230,September 5 1993,,1,North Carolina State University
1,Devin Booker,SG,6-6,206,October 30 1996,,R,University of Kentucky
4,Tyson Chandler,C,7-1,240,October 2 1982,,14,
3,Brandon Knight,SG,6-3,189,December 2 1991,,4,University of Kentucky
14,Ronnie Price,PG,6-2,190,June 21 1983,,10,Utah Valley State College
35,Mirza Teletovic,PF,6-9,242,September 18 1985,,3,
23,John Jenkins,SG,6-4,215,March 6 1991,,3,Vanderbilt University
10,Chase Budinger,SF,6-7,209,May 22 1988,,6,University of Arizona
15,Alan Williams,PF,6-8,260,January 28 1993,,R,University of California Santa Barbara
