
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Mason Plumlee,C,6-11,245,March 5 1990,,2,Duke University
2,Brian Roberts,PG,6-1,173,December 3 1985,,3,University of Dayton
4,Maurice Harkless,SF,6-9,215,May 11 1993,,3,St. John's University
0,Damian Lillard,PG,6-3,195,July 15 1990,,3,Weber State University
11,Meyers Leonard,PF,7-1,245,February 27 1992,,3,University of Illinois at Urbana-Champaign
3,C.J. McCollum,SG,6-4,200,September 19 1991,,2,Lehigh University
23,Allen Crabbe,SG,6-6,210,April 9 1992,,2,University of California
35,Chris Kaman,C,7-0,265,April 28 1982,,12,Central Michigan University
9,Gerald Henderson,SG,6-5,215,December 9 1987,,6,Duke University
21,Noah Vonleh,PF,6-10,240,August 24 1995,,1,Indiana University
8,Al-Farouq Aminu,SF,6-9,215,September 21 1990,,5,Wake Forest University
17,Ed Davis,PF,6-10,240,June 5 1989,,5,University of North Carolina
34,Cliff Alexander,PF,6-8,240,November 16 1995,,R,University of Kansas
44,Luis Montero,SG,6-7,185,April 6 1993,,R,Westchester CC
5,Pat Connaughton,SG,6-5,206,January 6 1993,,R,University of Notre Dame
