
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,DeMarcus Cousins,C,6-11,270,August 13 1990,,5,University of Kentucky
23,Ben McLemore,SG,6-5,195,February 11 1993,,2,University of Kansas
8,Rudy Gay,SF,6-8,230,August 17 1986,,9,University of Connecticut
7,Darren Collison,PG,6-0,175,August 23 1987,,6,University of California Los Angeles
00,Willie Cauley-Stein,C,7-0,240,August 18 1993,,R,University of Kentucky
18,Omri Casspi,SF,6-9,225,June 22 1988,,6,
41,Kosta Koufos,PF,7-0,265,February 24 1989,,7,Ohio State University
9,Rajon Rondo,PG,6-1,186,February 22 1986,,9,University of Kentucky
31,Caron Butler,SF,6-7,228,March 13 1980,,13,University of Connecticut
13,Quincy Acy,PF,6-7,240,October 6 1990,,3,Baylor University
30,Seth Curry,PG,6-2,185,August 23 1990,,2,Duke University
26,Duje Dukan,PF,6-9,220,December 4 1991,,R,University of Wisconsin
5,James Anderson,SG,6-6,213,March 25 1989,,4,Oklahoma State University
3,Marco Belinelli,SG,6-5,210,March 25 1986,,8,
25,Eric Moreland,PF,6-10,238,December 24 1991,,1,Oregon State University
