
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Tony Parker,PG,6-2,185,May 17 1982,,14,
33,Boris Diaw,PF,6-8,250,April 16 1982,,12,
8,Patty Mills,PG,6-0,185,August 11 1988,,6,Saint Mary's College of California
1,Kyle Anderson,SF,6-9,230,September 20 1993,,1,University of California Los Angeles
2,Kawhi Leonard,SF,6-7,230,June 29 1991,,4,San Diego State University
14,Danny Green,SG,6-6,215,June 22 1987,,6,University of North Carolina
20,Manu Ginobili,SG,6-6,205,July 28 1977,,13,
30,David West,PF,6-9,250,August 29 1980,,12,Xavier University
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,,9,University of Texas at Austin
15,Matt Bonner,C,6-10,235,April 5 1980,,11,University of Florida
21,Tim Duncan,C,6-11,250,April 25 1976,,18,Wake Forest University
17,Jonathon Simmons,SG,6-6,195,September 14 1989,,R,University of Houston
40,Boban Marjanovic,C,7-3,290,August 15 1988,,R,
24,Andre Miller,PG,6-3,200,March 19 1976,,16,University of Utah
23,Kevin Martin,SG,6-7,199,February 1 1983,,11,Western Carolina University
