
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
92,Lucas Nogueira,C,7-0,220,July 26 1992,,1,
54,Patrick Patterson,PF,6-9,235,March 14 1989,,5,University of Kentucky
10,DeMar DeRozan,SG,6-7,220,August 7 1989,,6,University of Southern California
7,Kyle Lowry,PG,6-0,205,March 25 1986,,9,Villanova University
17,Jonas Valanciunas,C,7-0,255,May 6 1992,,3,
31,Terrence Ross,SF,6-7,195,February 5 1991,,3,University of Washington
3,James Johnson,PF,6-9,250,February 20 1987,,6,Wake Forest University
20,Bruno Caboclo,SF,6-9,205,September 21 1995,,1,
55,Delon Wright,PG,6-5,190,April 26 1992,,R,University of Utah
5,DeMarre Carroll,SF,6-8,212,July 27 1986,,6,University of Missouri
8,Bismack Biyombo,C,6-9,245,August 28 1992,,4,
6,Cory Joseph,PG,6-3,190,August 20 1991,,4,University of Texas at Austin
4,Luis Scola,PF,6-9,240,April 30 1980,,8,
24,Norman Powell,SG,6-4,215,May 25 1993,,R,University of California Los Angeles
1,Jason Thompson,C,6-11,250,July 21 1986,,7,Rider University
