
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Ramon Sessions,PG,6-3,190,April 11 1986,,8,University of Nevada Reno
13,Marcin Gortat,C,6-11,240,February 17 1984,,8,
5,Markieff Morris,PF,6-10,245,September 2 1989,,4,University of Kansas
42,Nene,PF,6-11,250,September 13 1982,,13,
2,John Wall,PG,6-4,195,September 6 1990,,5,University of Kentucky
3,Bradley Beal,SG,6-5,207,June 28 1993,,3,University of Florida
22,Otto Porter,SF,6-8,198,June 3 1993,,2,Georgetown University
17,Garrett Temple,SF,6-6,195,May 8 1986,,5,Louisiana State University
12,Kelly Oubre Jr.,SF,6-7,205,December 9 1995,,R,University of Kansas
6,Alan Anderson,SG,6-6,220,October 16 1982,,6,Michigan State University
1,Jared Dudley,PF,6-7,225,July 10 1985,,8,Boston College
90,Drew Gooden,PF,6-10,250,September 24 1981,,13,University of Kansas
8,Jarell Eddie,SF,6-7,218,October 30 1991,,R,Virginia Polytechnic Institute and State University
21,J.J. Hickson,C,6-9,242,September 4 1988,,7,North Carolina State University
15,Marcus Thornton,SG,6-4,205,June 5 1987,,6,Louisiana State University
