,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS
0,41996,1610612737,Atlanta Hawks,10,4,6,0.4,495.0,101.8,105.8,-4.0,0.498,0.96,13.5,0.299,0.692,0.508,0.184,0.485,0.541,84.44,0.48,10,Atlanta Hawks
1,41996,1610612766,Charlotte Hornets,3,0,3,0.0,150.0,106.2,118.6,-12.4,0.505,1.38,15.1,0.314,0.753,0.509,0.148,0.492,0.535,85.29,0.42,10,Charlotte Hornets
2,41996,1610612741,Chicago Bulls,19,15,4,0.789,937.0,105.2,98.4,6.8,0.596,1.67,16.7,0.349,0.725,0.529,0.141,0.47,0.512,85.86,0.56,10,Chicago Bulls
3,41996,1610612765,Detroit Pistons,5,2,3,0.4,250.0,101.3,102.7,-1.4,0.42,1.42,12.7,0.214,0.695,0.432,0.114,0.471,0.513,81.61,0.451,10,Detroit Pistons
4,41996,1610612745,Houston Rockets,16,9,7,0.563,795.0,109.5,108.3,1.2,0.655,1.52,18.1,0.312,0.688,0.507,0.164,0.516,0.566,89.06,0.511,10,Houston Rockets
5,41996,1610612746,Los Angeles Clippers,3,0,3,0.0,153.0,103.4,118.6,-15.2,0.5,1.36,14.1,0.24,0.676,0.433,0.134,0.476,0.527,83.88,0.362,10,Los Angeles Clippers
6,41996,1610612747,Los Angeles Lakers,9,4,5,0.444,457.0,106.2,103.8,2.4,0.638,1.54,16.9,0.289,0.696,0.494,0.149,0.481,0.544,85.29,0.512,10,Los Angeles Lakers
7,41996,1610612748,Miami Heat,17,8,9,0.471,844.0,96.6,97.1,-0.6,0.582,1.06,14.6,0.272,0.713,0.496,0.182,0.467,0.512,85.73,0.481,10,Miami Heat
8,41996,1610612750,Minnesota Timberwolves,3,0,3,0.0,149.0,108.4,118.7,-10.2,0.6,2.57,18.5,0.296,0.692,0.466,0.102,0.487,0.516,89.32,0.425,10,Minnesota Timberwolves
9,41996,1610612752,New York Knicks,10,6,4,0.6,498.0,102.2,98.5,3.7,0.615,1.34,17.6,0.254,0.736,0.502,0.176,0.504,0.548,86.79,0.543,10,New York Knicks
10,41996,1610612753,Orlando Magic,5,2,3,0.4,248.0,96.9,105.3,-8.4,0.443,1.06,12.0,0.229,0.676,0.451,0.143,0.448,0.501,84.19,0.428,10,Orlando Magic
11,41996,1610612756,Phoenix Suns,5,2,3,0.4,253.0,99.2,113.6,-14.4,0.663,1.41,17.0,0.235,0.685,0.464,0.16,0.478,0.528,95.06,0.434,10,Phoenix Suns
12,41996,1610612757,Portland Trail Blazers,4,1,3,0.25,202.0,101.1,110.0,-8.9,0.603,1.27,16.4,0.296,0.692,0.485,0.175,0.479,0.528,84.1,0.418,10,Portland Trail Blazers
13,41996,1610612760,Seattle SuperSonics,12,6,6,0.5,607.0,110.6,103.7,6.9,0.637,1.72,17.7,0.32,0.693,0.502,0.143,0.494,0.551,91.12,0.528,10,Seattle SuperSonics
14,41996,1610612762,Utah Jazz,20,13,7,0.65,998.0,107.0,104.3,2.7,0.646,1.63,17.7,0.293,0.742,0.524,0.149,0.485,0.547,86.0,0.536,10,Utah Jazz
15,41996,1610612764,Washington Bullets,3,0,3,0.0,151.0,103.5,111.3,-7.8,0.5,0.91,14.2,0.321,0.608,0.473,0.203,0.505,0.563,86.96,0.455,10,Washington Bullets
0,41997,1610612737,Atlanta Hawks,4,1,3,0.25,192.0,103.5,99.7,3.8,0.519,1.33,15.1,0.288,0.784,0.532,0.151,0.495,0.528,85.42,0.492,10,Atlanta Hawks
1,41997,1610612766,Charlotte Hornets,9,4,5,0.444,432.0,96.0,104.0,-8.0,0.641,1.5,18.2,0.238,0.692,0.467,0.164,0.479,0.509,85.8,0.458,10,Charlotte Hornets
2,41997,1610612741,Chicago Bulls,21,15,6,0.714,1018.0,106.2,98.7,7.6,0.601,1.63,16.8,0.343,0.724,0.525,0.143,0.472,0.523,86.63,0.554,10,Chicago Bulls
3,41997,1610612739,Cleveland Cavaliers,4,1,3,0.25,192.0,94.7,104.1,-9.4,0.692,1.01,16.3,0.303,0.742,0.523,0.214,0.449,0.524,85.26,0.436,10,Cleveland Cavaliers
4,41997,1610612745,Houston Rockets,5,2,3,0.4,240.0,93.7,100.7,-7.0,0.559,1.25,13.8,0.247,0.765,0.492,0.144,0.416,0.478,90.56,0.426,10,Houston Rockets
5,41997,1610612754,Indiana Pacers,16,10,6,0.625,773.0,104.4,100.9,3.5,0.598,1.31,16.5,0.256,0.674,0.472,0.166,0.499,0.556,87.72,0.522,10,Indiana Pacers
6,41997,1610612747,Los Angeles Lakers,13,7,6,0.538,624.0,111.1,108.2,2.9,0.637,1.76,18.0,0.331,0.683,0.504,0.143,0.514,0.553,90.83,0.509,10,Los Angeles Lakers
7,41997,1610612748,Miami Heat,5,2,3,0.4,240.0,99.3,102.0,-2.7,0.547,1.21,14.6,0.211,0.719,0.468,0.155,0.483,0.529,87.94,0.464,10,Miami Heat
8,41997,1610612750,Minnesota Timberwolves,5,2,3,0.4,240.0,101.1,107.9,-6.8,0.699,1.66,18.4,0.315,0.694,0.49,0.157,0.462,0.508,89.06,0.451,10,Minnesota Timberwolves
9,41997,1610612751,New Jersey Nets,3,0,3,0.0,149.0,104.9,111.7,-6.7,0.45,1.25,13.9,0.333,0.643,0.498,0.147,0.485,0.531,88.17,0.449,10,New Jersey Nets
10,41997,1610612752,New York Knicks,10,4,6,0.4,485.0,98.2,101.2,-3.1,0.584,1.17,15.7,0.269,0.77,0.516,0.178,0.472,0.523,89.06,0.478,10,New York Knicks
11,41997,1610612756,Phoenix Suns,4,1,3,0.25,192.0,99.4,107.8,-8.4,0.534,1.8,15.8,0.261,0.735,0.478,0.118,0.459,0.492,93.43,0.438,10,Phoenix Suns
12,41997,1610612757,Portland Trail Blazers,4,1,3,0.25,192.0,105.8,112.0,-6.3,0.667,1.48,18.1,0.335,0.74,0.527,0.172,0.489,0.542,93.56,0.454,10,Portland Trail Blazers
13,41997,1610612759,San Antonio Spurs,9,4,5,0.444,437.0,103.0,98.5,4.5,0.52,1.2,14.8,0.283,0.749,0.529,0.162,0.489,0.536,88.46,0.527,10,San Antonio Spurs
14,41997,1610612760,Seattle SuperSonics,10,4,6,0.4,480.0,107.6,111.3,-3.7,0.618,1.73,17.9,0.323,0.643,0.486,0.144,0.497,0.538,88.06,0.482,10,Seattle SuperSonics
15,41997,1610612762,Utah Jazz,20,13,7,0.65,970.0,99.7,98.1,1.6,0.669,1.55,18.4,0.256,0.711,0.496,0.161,0.477,0.526,87.96,0.537,10,Utah Jazz
0,41998,1610612737,Atlanta Hawks,9,3,6,0.333,432.0,91.5,97.3,-5.8,0.486,0.97,12.3,0.298,0.716,0.499,0.165,0.415,0.47,85.89,0.463,10,Atlanta Hawks
1,41998,1610612765,Detroit Pistons,5,2,3,0.4,240.0,96.7,98.6,-2.0,0.553,1.51,16.0,0.299,0.706,0.493,0.144,0.452,0.487,82.64,0.463,10,Detroit Pistons
2,41998,1610612745,Houston Rockets,4,1,3,0.25,192.0,103.4,104.9,-1.5,0.607,1.55,16.1,0.308,0.747,0.529,0.141,0.463,0.517,94.2,0.478,10,Houston Rockets
3,41998,1610612754,Indiana Pacers,13,9,4,0.692,629.0,103.0,99.5,3.5,0.631,1.31,16.8,0.304,0.716,0.519,0.174,0.485,0.54,89.93,0.541,10,Indiana Pacers
