SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS
41996,1610612737,Atlanta Hawks,82,56,26,0.683,4076,105.4,98.9,6.5,0.554,1.27,15.6,0.315,0.692,0.508,0.167,0.498,0.542,87.04,0.539,10,Atlanta Hawks
41996,1610612738,Boston Celtics,82,15,67,0.183,4111,100.8,108.8,-8,0.584,1.34,16.2,0.294,0.685,0.475,0.164,0.474,0.52,95.24,0.434,10,Boston Celtics
41996,1610612766,Charlotte Hornets,82,54,28,0.659,4086,108,105.6,2.4,0.676,1.68,19.4,0.287,0.681,0.49,0.16,0.518,0.562,88.34,0.528,10,Charlotte Hornets
41996,1610612741,Chicago Bulls,82,69,13,0.841,4069,111.1,99.2,12,0.654,1.93,19.5,0.359,0.693,0.529,0.146,0.511,0.547,89.94,0.586,10,Chicago Bulls
41996,1610612739,Cleveland Cavaliers,82,42,40,0.512,4115,102,99.4,2.6,0.634,1.44,17.8,0.294,0.719,0.503,0.169,0.493,0.531,82.21,0.512,10,Cleveland Cavaliers
41996,1610612742,Dallas Mavericks,82,24,58,0.293,4091,98,105.7,-7.7,0.591,1.26,16.2,0.3,0.673,0.484,0.175,0.469,0.509,88.6,0.449,10,Dallas Mavericks
41996,1610612743,Denver Nuggets,82,21,61,0.256,4117,101.2,108.2,-7,0.644,1.39,17.5,0.288,0.693,0.493,0.171,0.486,0.53,92.21,0.461,10,Denver Nuggets
41996,1610612765,Detroit Pistons,82,54,28,0.659,4091,107.9,101.3,6.6,0.55,1.49,16.2,0.275,0.704,0.494,0.146,0.512,0.554,84.2,0.53,10,Detroit Pistons
41996,1610612744,Golden State Warriors,82,30,52,0.366,4109,104.1,108.9,-4.8,0.608,1.29,16.9,0.323,0.675,0.499,0.18,0.493,0.543,91.76,0.464,10,Golden State Warriors
41996,1610612745,Houston Rockets,82,57,25,0.695,4089,105.8,101.4,4.4,0.663,1.47,18.7,0.284,0.714,0.51,0.175,0.52,0.56,91.39,0.536,10,Houston Rockets
41996,1610612754,Indiana Pacers,82,39,43,0.476,4132,103,101.8,1.2,0.614,1.31,16.9,0.313,0.704,0.512,0.176,0.49,0.537,88.24,0.504,10,Indiana Pacers
41996,1610612746,Los Angeles Clippers,82,36,46,0.439,4124,101.8,104.9,-3.1,0.556,1.27,15.7,0.308,0.681,0.488,0.167,0.482,0.524,90.83,0.475,10,Los Angeles Clippers
41996,1610612747,Los Angeles Lakers,82,56,26,0.683,4121,105.2,100.8,4.3,0.611,1.51,17.2,0.316,0.685,0.502,0.157,0.496,0.535,90.74,0.53,10,Los Angeles Lakers
41996,1610612748,Miami Heat,82,61,21,0.744,4101,104,97.9,6.1,0.615,1.33,17.1,0.292,0.706,0.503,0.175,0.507,0.546,87.52,0.536,10,Miami Heat
41996,1610612749,Milwaukee Bucks,82,33,49,0.402,4078,103.4,105.6,-2.2,0.543,1.25,15.9,0.297,0.699,0.499,0.17,0.496,0.541,88.9,0.477,10,Milwaukee Bucks
41996,1610612750,Minnesota Timberwolves,82,40,42,0.488,4088,102.6,103.7,-1.1,0.638,1.51,17.8,0.288,0.683,0.487,0.162,0.485,0.533,90.39,0.501,10,Minnesota Timberwolves
