NYK
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,NYK
7,Carmelo Anthony,SF,6-8,240,May 29 1984,,12,Syracuse University,NYK
3,Jose Calderon,PG,6-3,200,September 28 1981,,10,,NYK
11,Cleanthony Early,SF,6-8,210,April 17 1991,,1,Wichita State University,NYK
2,Langston Galloway,PG,6-2,200,December 9 1991,,1,Saint Joseph's University,NYK
6,Kristaps Porzingis,PF,7-3,240,August 2 1995,,R,,NYK
13,Jerian Grant,PG,6-4,195,October 9 1992,,R,University of Notre Dame,NYK
4,Arron Afflalo,SG,6-5,210,October 15 1985,,8,University of California Los Angeles,NYK
9,Kyle O'Quinn,PF,6-10,250,March 26 1990,,3,Norfolk State University,NYK
23,Derrick Williams,PF,6-8,240,May 25 1991,,4,University of Arizona,NYK
8,Robin Lopez,C,7-0,255,April 1 1988,,7,Stanford University,NYK
17,Lou Amundson,PF,6-9,220,December 7 1982,,9,University of Nevada Las Vegas,NYK
18,Sasha Vujacic,SG,6-7,195,March 8 1984,,8,,NYK
1,Kevin Seraphin,C,6-10,278,December 7 1989,,5,,NYK
42,Lance Thomas,SF,6-8,235,April 24 1988,,4,Duke University,NYK
,Tony Wroten,G,6-6,205,April 13 1993,,3,University of Washington,NYK
MEM
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,MEM
15,Vince Carter,SG,6-6,220,January 26 1977,,17,University of North Carolina,MEM
1,Lance Stephenson,SF,6-5,230,September 5 1990,,5,University of Cincinnati,MEM
50,Zach Randolph,PF,6-9,260,July 16 1981,,14,Michigan State University,MEM
33,Marc Gasol,C,7-1,255,January 29 1985,,7,,MEM
11,Mike Conley,PG,6-1,175,October 11 1987,,8,Ohio State University,MEM
7,Chris Andersen,C,6-10,245,July 7 1978,,13,Blinn College,MEM
22,Matt Barnes,SF,6-7,226,March 9 1980,,12,University of California Los Angeles,MEM
9,Tony Allen,SF,6-4,213,January 11 1982,,11,Oklahoma State University,MEM
19,P.J. Hairston,SF,6-6,230,December 24 1992,,1,University of North Carolina,MEM
3,Jordan Adams,SG,6-5,209,July 8 1994,,1,University of California Los Angeles,MEM
0,JaMychal Green,PF,6-9,227,June 21 1990,,1,University of Alabama,MEM
10,Jarell Martin,PF,6-10,239,May 24 1994,,R,Louisiana State University,MEM
34,Brandan Wright,PF,6-10,210,October 5 1987,,7,University of North Carolina,MEM
4,Jordan Farmar,PG,6-2,180,November 30 1986,,8,University of California Los Angeles,MEM
14,Xavier Munford,SG,6-3,180,June 1 1992,,R,University of Rhode Island,MEM
OKC
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,OKC
3,Dion Waiters,SG,6-4,225,December 10 1991,,3,Syracuse University,OKC
21,Andre Roberson,SG,6-7,210,December 4 1991,,2,University of Colorado,OKC
35,Kevin Durant,SF,6-9,240,September 29 1988,,8,University of Texas at Austin,OKC
0,Russell Westbrook,PG,6-3,200,November 12 1988,,7,University of California Los Angeles,OKC
9,Serge Ibaka,PF,6-10,245,September 18 1989,,6,,OKC
4,Nick Collison,PF,6-10,255,October 26 1980,,11,University of Kansas,OKC
12,Steven Adams,C,7-0,255,July 20 1993,,2,University of Pittsburgh,OKC
6,Randy Foye,SG,6-4,213,September 24 1983,,9,Villanova University,OKC
2,Anthony Morrow,SG,6-5,210,September 27 1985,,7,Georgia Institute of Technology,OKC
33,Mitch McGary,PF,6-10,255,June 6 1992,,1,University of Michigan,OKC
22,Cameron Payne,PG,6-3,185,August 8 1994,,R,Murray State University,OKC
5,Kyle Singler,SF,6-8,228,May 4 1988,,3,Duke University,OKC
11,Enes Kanter,C,6-11,245,May 20 1992,,4,,OKC
