ATL,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2005
12,Kenny Anderson,PG,6-0,168,October 9 1970,13,Georgia Institute of Technology,ATL,2005
20,Jon Barry,SG,6-4,195,July 25 1969,12,Georgia Institute of Technology,ATL,2005
1,Josh Childress,SG,6-8,210,June 20 1983,R,Stanford University,ATL,2005
40,Jason Collier,C,7-0,260,September 8 1977,4,Georgia Institute of Technology,ATL,2005
00,Tony Delk,SG,6-1,189,January 28 1974,8,University of Kentucky,ATL,2005
13,Boris Diaw,SG,6-8,250,April 16 1982,1,,ATL,2005
14,Predrag Drobnjak,C,6-11,270,October 27 1975,3,,ATL,2005
54,Obinna Ekezie,C,6-9,270,August 22 1975,3,University of Maryland,ATL,2005
7,Tom Gugliotta,PF,6-10,240,December 19 1969,12,North Carolina State University,ATL,2005
3,Al Harrington,SF,6-9,230,February 17 1980,6,,ATL,2005
36,Royal Ivey,PG,6-3,200,December 20 1981,R,University of Texas at Austin,ATL,2005
10,Tyronn Lue,PG,6-0,175,May 3 1977,6,University of Nebraska,ATL,2005
34,Jelani McCoy,C,6-10,245,December 6 1977,6,University of California Los Angeles,ATL,2005
2,Anthony Miller,PF,6-9,225,October 22 1971,7,Michigan State University,ATL,2005
15,Donta Smith,SG,6-7,215,November 27 1983,R,Southeastern Illinois College,ATL,2005
5,Josh Smith,SF,6-9,225,December 5 1985,R,,ATL,2005
44,Michael Stewart,PF,6-10,230,April 25 1975,7,University of California,ATL,2005
0,James Thomas,PF,6-8,235,November 22 1980,R,University of Texas at Austin,ATL,2005
8,Antoine Walker,PF,6-8,224,August 12 1976,8,University of Kentucky,ATL,2005
42,Kevin Willis,C,7-0,220,September 6 1962,19,Michigan State University,ATL,2005
ATL,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,ATL,2006
11,Esteban Batista,PF,6-10,270,September 2 1983,R,,ATL,2006
1,Josh Childress,SF,6-8,210,June 20 1983,1,Stanford University,ATL,2006
00,Tony Delk,SG,6-1,189,January 28 1974,9,University of Kentucky,ATL,2006
54,John Edwards,C,7-0,275,July 31 1981,1,Kent State University,ATL,2006
16,Anthony Grundy,SG,6-3,180,April 15 1979,R,North Carolina State University,ATL,2006
