ATL,2005
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ATL,2005
1,Al Harrington,24,66,66,2550,453,986,.459,16,74,.216,437,912,.479,.468,236,351,.672,145,316,461,208,85,16,204,249,1158,ATL,2005
2,Josh Childress,21,80,44,2376,302,642,.470,13,56,.232,289,586,.493,.481,190,231,.823,195,287,482,151,74,35,106,184,807,ATL,2005
3,Antoine Walker,28,53,53,2128,420,1013,.415,85,268,.317,335,745,.450,.457,157,294,.534,126,371,497,194,64,32,183,147,1082,ATL,2005
4,Josh Smith,19,74,59,2050,274,602,.455,4,23,.174,270,579,.466,.458,163,237,.688,147,310,457,127,59,144,135,157,715,ATL,2005
5,Tyronn Lue,27,49,46,1528,247,532,.464,40,110,.364,207,422,.491,.502,128,147,.871,14,95,109,264,25,0,81,120,662,ATL,2005
6,Predrag Drobnjak,29,71,1,1435,238,543,.438,25,71,.352,213,472,.451,.461,96,120,.800,73,165,238,49,42,24,78,138,597,ATL,2005
7,Tony Delk,31,56,1,1340,246,591,.416,72,202,.356,174,389,.447,.477,103,136,.757,28,102,130,104,47,3,54,123,667,ATL,2005
8,Boris Diaw,22,66,25,1201,124,294,.422,9,50,.180,115,244,.471,.437,57,77,.740,54,116,170,149,37,18,87,123,314,ATL,2005
9,Jason Collier,27,70,44,942,174,376,.463,6,14,.429,168,362,.464,.471,48,71,.676,84,100,184,18,15,13,63,147,402,ATL,2005
10,Royal Ivey,23,62,5,809,85,198,.429,3,9,.333,82,189,.434,.437,47,67,.701,19,65,84,103,39,7,58,140,220,ATL,2005
11,Tom Gugliotta,35,27,9,748,88,204,.431,8,26,.308,80,178,.449,.451,29,37,.784,41,107,148,56,32,13,48,81,213,ATL,2005
12,Obinna Ekezie,29,42,31,732,79,182,.434,0,1,.000,79,181,.436,.434,72,93,.774,69,110,179,11,22,12,45,129,230,ATL,2005
13,Kenny Anderson,34,39,20,717,81,190,.426,6,13,.462,75,177,.424,.442,27,37,.730,23,60,83,98,33,0,46,81,195,ATL,2005
14,Donta Smith,21,38,0,433,44,113,.389,6,22,.273,38,91,.418,.416,33,48,.688,19,33,52,39,23,5,25,50,127,ATL,2005
15,Kevin Willis,42,29,5,344,35,90,.389,0,2,.000,35,88,.398,.389,17,23,.739,29,47,76,9,8,7,15,53,87,ATL,2005
16,Jon Barry,35,16,0,275,31,77,.403,11,32,.344,20,45,.444,.474,10,13,.769,4,17,21,28,14,2,14,28,83,ATL,2005
17,Michael Stewart,29,12,1,145,11,21,.524,0,0,,11,21,.524,.524,3,7,.429,21,19,40,5,6,5,6,32,25,ATL,2005
18,Jelani McCoy,27,10,0,88,7,13,.538,0,0,,7,13,.538,.538,1,5,.200,7,14,21,0,3,8,6,24,15,ATL,2005
19,Anthony Miller,33,2,0,9,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,1,1,1,1,0,1,2,4,ATL,2005
20,James Thomas,24,2,0,5,1,2,.500,0,0,,1,2,.500,.500,0,0,,2,0,2,0,0,0,0,1,2,ATL,2005
,Team Totals,,82,,19855,2942,6672,.441,304,973,.312,2638,5699,.463,.464,1417,1994,.711,1100,2335,3435,1614,629,344,1319,2009,7605,ATL,2005
ATL,2006
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ATL,2006
1,Joe Johnson,24,82,82,3340,632,1395,.453,128,360,.356,504,1035,.487,.499,261,330,.791,98,237,335,536,103,31,267,187,1653,ATL,2006
2,Al Harrington,25,76,76,2782,551,1220,.452,66,191,.346,485,1029,.471,.479,243,350,.694,132,391,523,238,85,14,195,301,1411,ATL,2006
3,Josh Smith,20,80,73,2559,329,774,.425,34,110,.309,295,664,.444,.447,210,292,.719,176,355,531,191,64,208,162,260,902,ATL,2006
4,Zaza Pachulia,21,78,78,2452,307,681,.451,0,2,.000,307,679,.452,.451,297,404,.735,264,349,613,129,89,39,180,286,911,ATL,2006
5,Josh Childress,22,74,10,2249,278,504,.552,32,65,.492,246,439,.560,.583,154,201,.766,134,253,387,131,86,39,101,184,742,ATL,2006
6,Marvin Williams,19,79,7,1952,235,531,.443,13,53,.245,222,478,.464,.455,189,253,.747,122,261,383,63,48,24,83,227,672,ATL,2006
7,Salim Stoudamire,23,61,1,1236,204,492,.415,82,216,.380,122,276,.442,.498,99,110,.900,12,104,116,75,27,3,82,118,589,ATL,2006
8,Tyronn Lue,28,51,10,1234,192,418,.459,58,127,.457,134,291,.460,.529,118,138,.855,13,69,82,157,26,3,75,113,560,ATL,2006
9,Royal Ivey,24,73,66,978,116,264,.439,4,10,.400,112,254,.441,.447,24,33,.727,31,65,96,74,24,7,23,147,260,ATL,2006
10,Esteban Batista,22,57,3,495,34,80,.425,0,1,.000,34,79,.430,.425,33,53,.623,61,83,144,7,15,11,38,111,101,ATL,2006
11,John Edwards,24,40,4,296,31,64,.484,0,0,,31,64,.484,.484,8,11,.727,18,30,48,5,3,15,12,76,70,ATL,2006
12,Donta Smith,22,23,0,127,15,27,.556,2,4,.500,13,23,.565,.593,6,12,.500,3,11,14,9,8,0,4,20,38,ATL,2006
13,Anthony Grundy,26,12,0,108,19,38,.500,5,15,.333,14,23,.609,.566,9,14,.643,1,16,17,9,7,0,9,14,52,ATL,2006
14,John Thomas,30,11,0,66,3,7,.429,0,0,,3,7,.429,.429,3,4,.750,3,7,10,1,2,0,4,10,9,ATL,2006
15,Tony Delk,32,1,0,7,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,1,2,0,0,0,0,0,2,ATL,2006
,Team Totals,,82,,19880,2946,6496,.454,424,1154,.367,2522,5342,.472,.486,1656,2207,.750,1069,2232,3301,1625,587,394,1284,2054,7972,ATL,2006
ATL,2007
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ATL,2007
1,Josh Smith,21,72,72,2647,436,993,.439,38,152,.250,398,841,.473,.458,268,387,.693,165,456,621,236,101,207,227,241,1178,ATL,2007
2,Joe Johnson,25,57,57,2359,536,1139,.471,119,312,.381,417,827,.504,.523,235,314,.748,53,186,239,249,60,11,176,115,1426,ATL,2007
3,Marvin Williams,20,64,63,2179,306,706,.433,11,45,.244,295,661,.446,.441,216,265,.815,84,253,337,121,52,30,127,191,839,ATL,2007
4,Zaza Pachulia,22,72,47,2026,291,614,.474,0,1,.000,291,613,.475,.474,293,373,.786,199,301,500,106,77,36,162,267,875,ATL,2007
5,Josh Childress,23,55,13,2024,261,518,.504,26,77,.338,235,441,.533,.529,167,210,.795,123,217,340,127,58,36,80,118,715,ATL,2007
6,Shelden Williams,23,81,31,1514,166,365,.455,2,4,.500,164,361,.454,.458,110,144,.764,131,304,435,44,52,39,96,199,444,ATL,2007
7,Tyronn Lue,29,56,17,1488,218,524,.416,56,161,.348,162,363,.446,.469,144,163,.883,19,85,104,201,24,0,85,101,636,ATL,2007
8,Speedy Claxton,28,42,31,1054,91,278,.327,6,28,.214,85,250,.340,.338,33,60,.550,12,69,81,185,72,4,75,131,221,ATL,2007
9,Lorenzen Wright,31,67,31,1035,82,183,.448,0,0,,82,183,.448,.448,9,32,.281,85,131,216,40,28,28,39,204,173,ATL,2007
10,Salim Stoudamire,24,61,0,1034,177,425,.416,56,155,.361,121,270,.448,.482,61,68,.897,6,68,74,61,21,2,55,88,471,ATL,2007
