SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
41996,1610612737,Atlanta Hawks,82,56,26,0.683,49.7,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,12.5,28.7,41.1,19.0,15.0,8.5,5.2,4.0,18.4,94.8,5.4,105.4,98.9,6.5,0.554,1.27,15.6,0.315,0.692,0.508,0.167,0.498,0.542,87.04,0.539
41996,1610612738,Boston Celtics,82,15,67,0.183,50.1,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,0.75,13.3,26.7,40.0,21.9,16.4,9.9,3.8,6.8,21.7,100.6,-7.3,100.8,108.8,-8.0,0.584,1.34,16.2,0.294,0.685,0.475,0.164,0.474,0.52,95.24,0.434
41996,1610612766,Charlotte Hornets,82,54,28,0.659,49.8,36.4,77.3,0.471,7.2,16.9,0.428,18.8,24.2,0.777,11.1,28.0,39.1,24.6,14.7,7.3,4.3,4.1,19.9,98.9,1.9,108.0,105.6,2.4,0.676,1.68,19.4,0.287,0.681,0.49,0.16,0.518,0.562,88.34,0.528
41996,1610612741,Chicago Bulls,82,69,13,0.841,49.6,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,0.747,15.1,30.0,45.1,26.1,13.5,8.7,4.0,3.5,18.4,103.1,10.8,111.1,99.2,12.0,0.654,1.93,19.5,0.359,0.693,0.529,0.146,0.511,0.547,89.94,0.586
41996,1610612739,Cleveland Cavaliers,82,42,40,0.512,50.2,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,0.723,11.1,26.3,37.4,20.9,14.5,8.0,3.8,4.3,21.1,87.5,1.8,102.0,99.4,2.6,0.634,1.44,17.8,0.294,0.719,0.503,0.169,0.493,0.531,82.21,0.512
41996,1610612742,Dallas Mavericks,82,24,58,0.293,49.9,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,0.717,12.7,27.6,40.3,20.3,16.1,8.0,4.3,5.3,20.5,90.6,-6.4,98.0,105.7,-7.7,0.591,1.26,16.2,0.3,0.673,0.484,0.175,0.469,0.509,88.6,0.449
41996,1610612743,Denver Nuggets,82,21,61,0.256,50.2,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,0.761,12.1,29.9,42.0,23.0,16.6,6.1,5.9,5.5,20.4,97.8,-6.3,101.2,108.2,-7.0,0.644,1.39,17.5,0.288,0.693,0.493,0.171,0.486,0.53,92.21,0.461
41996,1610612765,Detroit Pistons,82,54,28,0.659,49.9,34.5,74.3,0.464,7.1,18.3,0.388,18.1,24.3,0.745,10.5,27.9,38.4,19.0,12.7,7.7,3.5,3.4,18.6,94.2,5.2,107.9,101.3,6.6,0.55,1.49,16.2,0.275,0.704,0.494,0.146,0.512,0.554,84.2,0.53
41996,1610612744,Golden State Warriors,82,30,52,0.366,50.1,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,0.778,13.2,27.5,40.8,22.2,17.2,7.5,4.4,4.8,20.2,99.6,-4.7,104.1,108.9,-4.8,0.608,1.29,16.9,0.323,0.675,0.499,0.18,0.493,0.543,91.76,0.464
41996,1610612745,Houston Rockets,82,57,25,0.695,49.9,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,0.755,11.3,31.3,42.6,24.5,16.6,8.4,4.2,4.5,18.4,100.6,4.5,105.8,101.4,4.4,0.663,1.47,18.7,0.284,0.714,0.51,0.175,0.52,0.56,91.39,0.536
41996,1610612754,Indiana Pacers,82,39,43,0.476,50.4,34.8,76.3,0.456,5.2,13.8,0.381,20.6,28.5,0.722,12.5,29.1,41.7,21.3,16.3,7.1,4.8,5.1,22.1,95.4,1.0,103.0,101.8,1.2,0.614,1.31,16.9,0.313,0.704,0.512,0.176,0.49,0.537,88.24,0.504
41996,1610612746,Los Angeles Clippers,82,36,46,0.439,50.3,36.5,81.7,0.446,5.8,16.3,0.354,18.5,25.3,0.731,13.3,27.3,40.7,20.3,16.0,8.9,5.4,5.1,22.7,97.2,-2.4,101.8,104.9,-3.1,0.556,1.27,15.7,0.308,0.681,0.488,0.167,0.482,0.524,90.83,0.475
41996,1610612747,Los Angeles Lakers,82,56,26,0.683,50.3,36.8,81.0,0.454,6.7,18.3,0.367,19.7,28.4,0.692,13.3,29.4,42.8,22.5,14.9,9.0,7.0,4.7,20.7,100.0,4.3,105.2,100.8,4.3,0.611,1.51,17.2,0.316,0.685,0.502,0.157,0.496,0.535,90.74,0.53
41996,1610612748,Miami Heat,82,61,21,0.744,50.0,34.4,76.0,0.453,8.3,22.7,0.364,17.7,24.7,0.719,11.7,29.3,41.0,21.2,15.9,7.9,5.4,4.8,21.2,94.8,5.5,104.0,97.9,6.1,0.615,1.33,17.1,0.292,0.706,0.503,0.175,0.507,0.546,87.52,0.536
