,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS
0,41996,1610612737,Atlanta Hawks,10,4,6,0.4,49.5,30.9,70.8,0.436,6.9,21.9,0.315,20.3,26.1,0.778,11.0,29.0,40.0,15.4,16.1,4.5,4.3,3.5,20.0,9.9,89.0,-2.9,10,Atlanta Hawks
1,41996,1610612766,Charlotte Hornets,3,0,3,0.0,50.1,36.3,80.3,0.452,6.3,17.0,0.373,16.7,20.7,0.806,12.7,24.3,37.0,18.3,13.3,6.7,3.0,3.3,21.0,12.0,95.7,-8.7,10,Charlotte Hornets
2,41996,1610612741,Chicago Bulls,19,15,4,0.789,49.3,34.7,80.2,0.432,6.1,19.2,0.319,17.1,23.2,0.735,14.9,28.6,43.5,20.7,12.4,8.5,4.8,4.2,24.3,8.6,92.5,5.5,10,Chicago Bulls
3,41996,1610612765,Detroit Pistons,5,2,3,0.4,49.9,32.4,74.8,0.433,5.6,17.0,0.329,15.2,19.8,0.768,8.6,23.2,31.8,13.6,9.6,7.0,2.4,4.6,20.2,10.8,85.6,-2.0,10,Detroit Pistons
4,41996,1610612745,Houston Rockets,16,9,7,0.563,49.7,35.3,77.1,0.458,8.9,24.5,0.362,21.8,28.4,0.767,12.3,29.3,41.5,23.1,15.2,7.7,4.4,4.2,21.9,9.8,101.3,1.8,10,Houston Rockets
5,41996,1610612746,Los Angeles Clippers,3,0,3,0.0,50.9,32.7,75.0,0.436,6.0,18.0,0.333,21.0,28.7,0.733,10.3,23.0,33.3,16.3,12.0,6.7,4.3,5.3,29.0,18.3,92.3,-12.7,10,Los Angeles Clippers
6,41996,1610612747,Los Angeles Lakers,9,4,5,0.444,50.7,32.2,72.1,0.447,4.9,15.2,0.321,25.9,35.0,0.74,11.2,27.7,38.9,20.6,13.3,6.8,6.1,5.3,26.6,10.7,95.2,1.1,10,Los Angeles Lakers
7,41996,1610612748,Miami Heat,17,8,9,0.471,49.6,29.5,72.1,0.409,8.4,23.8,0.351,18.5,26.8,0.692,11.1,30.2,41.3,17.2,16.2,6.7,5.1,4.4,22.4,9.2,85.9,0.2,10,Miami Heat
8,41996,1610612750,Minnesota Timberwolves,3,0,3,0.0,49.8,40.0,88.7,0.451,6.3,16.7,0.38,13.3,18.0,0.741,14.0,24.7,38.7,24.0,9.3,7.7,4.0,4.0,23.3,14.0,99.7,-11.3,10,Minnesota Timberwolves
9,41996,1610612752,New York Knicks,10,6,4,0.6,49.8,34.3,73.5,0.467,5.5,14.8,0.372,17.1,22.2,0.77,9.7,29.8,39.5,21.1,15.7,8.7,3.5,4.9,23.4,11.5,91.2,1.7,10,New York Knicks
10,41996,1610612753,Orlando Magic,5,2,3,0.4,49.7,29.8,73.0,0.408,5.8,18.0,0.322,18.8,25.2,0.746,9.6,28.0,37.6,13.2,12.4,6.4,5.2,5.6,19.0,10.0,84.2,-7.8,10,Orlando Magic
11,41996,1610612756,Phoenix Suns,5,2,3,0.4,50.6,34.4,82.6,0.416,10.2,29.0,0.352,21.2,27.8,0.763,10.0,30.4,40.4,22.8,16.2,8.2,5.2,4.8,22.0,13.4,100.2,-12.6,10,Phoenix Suns
12,41996,1610612757,Portland Trail Blazers,4,1,3,0.25,50.4,32.8,73.0,0.449,4.5,17.0,0.265,19.8,27.3,0.725,11.8,25.3,37.0,19.8,15.5,5.5,4.3,5.3,28.8,12.5,89.8,-7.0,10,Portland Trail Blazers
13,41996,1610612760,Seattle SuperSonics,12,6,6,0.5,50.6,36.8,82.8,0.444,8.3,21.8,0.383,23.3,28.5,0.816,13.9,28.8,42.8,23.4,13.6,10.2,4.1,4.1,23.5,10.4,105.1,4.5,10,Seattle SuperSonics
14,41996,1610612762,Utah Jazz,20,13,7,0.65,49.9,33.7,74.5,0.452,5.0,13.5,0.367,23.8,30.4,0.784,11.4,30.4,41.8,21.8,13.4,7.4,4.9,5.7,24.8,10.9,96.1,3.3,10,Utah Jazz
15,41996,1610612764,Washington Bullets,3,0,3,0.0,50.4,34.0,71.7,0.474,4.3,10.3,0.419,22.7,29.0,0.782,11.3,24.3,35.7,17.0,18.7,4.7,6.3,4.3,25.7,16.7,95.0,-6.0,10,Washington Bullets
0,41997,1610612737,Atlanta Hawks,4,1,3,0.25,48.0,32.8,73.0,0.449,6.8,18.0,0.375,15.3,22.3,0.685,11.0,29.0,40.0,17.0,12.8,7.8,4.8,2.8,23.5,0.0,87.5,1.5,10,Atlanta Hawks
1,41997,1610612766,Charlotte Hornets,9,4,5,0.444,48.0,33.1,72.9,0.454,3.6,11.1,0.32,13.0,19.0,0.684,9.1,27.0,36.1,21.2,14.1,6.4,2.8,4.4,21.6,0.3,82.8,-6.0,10,Charlotte Hornets
2,41997,1610612741,Chicago Bulls,21,15,6,0.714,48.5,34.1,76.7,0.445,4.2,13.0,0.324,20.7,28.1,0.734,14.0,27.0,41.0,20.5,12.6,9.0,4.5,3.1,22.8,0.2,93.1,7.0,10,Chicago Bulls
3,41997,1610612739,Cleveland Cavaliers,4,1,3,0.25,48.0,26.8,61.5,0.435,1.8,6.0,0.292,25.5,35.3,0.723,10.0,24.5,34.5,18.5,18.3,8.5,3.0,7.8,23.8,0.3,80.8,-8.0,10,Cleveland Cavaliers
4,41997,1610612745,Houston Rockets,5,2,3,0.4,48.0,29.0,75.4,0.385,4.8,18.6,0.258,21.8,29.8,0.732,11.2,31.2,42.4,16.2,13.0,7.2,5.0,5.8,23.8,0.2,84.6,-6.8,10,Houston Rockets
5,41997,1610612754,Indiana Pacers,16,10,6,0.625,48.3,32.0,69.6,0.46,5.4,14.5,0.375,22.3,29.4,0.76,9.3,26.0,35.3,19.1,14.6,7.2,4.9,3.6,24.8,0.2,91.8,2.3,10,Indiana Pacers
6,41997,1610612747,Los Angeles Lakers,13,7,6,0.538,48.0,35.6,75.1,0.474,6.0,17.5,0.344,23.0,35.4,0.65,13.4,26.7,40.1,22.7,12.9,7.4,7.8,5.8,24.6,0.2,100.2,1.2,10,Los Angeles Lakers
7,41997,1610612748,Miami Heat,5,2,3,0.4,48.0,30.0,69.6,0.431,7.2,20.0,0.36,20.2,29.6,0.682,8.2,28.6,36.8,16.4,13.6,6.8,3.8,1.4,25.4,0.4,87.4,-2.2,10,Miami Heat
8,41997,1610612750,Minnesota Timberwolves,5,2,3,0.4,48.0,33.2,79.8,0.416,7.4,19.6,0.378,16.4,20.4,0.804,13.6,25.8,39.4,23.2,14.0,7.4,3.6,3.8,22.6,0.6,90.2,-5.8,10,Minnesota Timberwolves
9,41997,1610612751,New Jersey Nets,3,0,3,0.0,49.7,37.0,78.7,0.47,2.3,7.3,0.318,18.7,24.7,0.757,12.3,27.0,39.3,16.7,13.3,7.0,3.3,4.3,26.0,0.0,95.0,-7.7,10,New Jersey Nets
10,41997,1610612752,New York Knicks,10,4,6,0.4,48.5,32.2,73.8,0.436,5.3,13.6,0.39,18.9,24.7,0.765,10.5,29.2,39.7,18.8,16.1,8.6,2.0,4.1,26.8,0.2,88.6,-2.2,10,New York Knicks
11,41997,1610612756,Phoenix Suns,4,1,3,0.25,48.0,37.0,85.3,0.434,4.3,12.8,0.333,14.8,21.3,0.694,12.0,28.5,40.5,19.8,11.0,8.5,4.0,7.3,25.0,0.0,93.0,-7.5,10,Phoenix Suns
12,41997,1610612757,Portland Trail Blazers,4,1,3,0.25,48.0,36.0,79.5,0.453,5.8,15.3,0.377,22.0,28.5,0.772,14.0,27.8,41.8,24.0,16.3,7.0,5.3,8.5,29.8,0.0,99.8,-4.3,10,Portland Trail Blazers
13,41997,1610612759,San Antonio Spurs,9,4,5,0.444,48.6,33.3,72.1,0.462,3.9,12.9,0.302,21.2,30.8,0.69,11.0,32.6,43.6,17.3,14.4,5.7,7.0,4.3,22.1,0.2,91.8,3.2,10,San Antonio Spurs
14,41997,1610612760,Seattle SuperSonics,10,4,6,0.4,48.0,35.6,78.3,0.455,6.6,19.2,0.344,17.4,23.1,0.753,12.7,26.1,38.8,22.0,12.7,8.7,4.3,6.2,23.5,0.3,95.2,-2.4,10,Seattle SuperSonics
15,41997,1610612762,Utah Jazz,20,13,7,0.65,48.5,33.4,73.4,0.455,3.3,9.4,0.353,19.0,25.5,0.745,9.7,30.1,39.8,22.3,14.4,6.5,4.9,5.5,26.0,0.3,89.0,2.1,10,Utah Jazz
0,41998,1610612737,Atlanta Hawks,9,3,6,0.333,48.0,28.6,74.6,0.383,4.8,15.3,0.312,17.8,23.1,0.769,12.0,26.9,38.9,13.9,14.3,8.1,4.0,2.9,19.4,0.4,79.7,-2.8,10,Atlanta Hawks
1,41998,1610612765,Detroit Pistons,5,2,3,0.4,48.0,32.2,75.0,0.429,3.4,9.4,0.362,11.4,14.4,0.792,11.2,24.0,35.2,17.8,11.8,7.2,1.8,4.6,22.6,0.2,79.2,-3.0,10,Detroit Pistons
2,41998,1610612745,Houston Rockets,4,1,3,0.25,48.0,33.8,81.3,0.415,7.8,21.3,0.365,21.8,28.5,0.763,13.3,32.5,45.8,20.5,13.3,7.5,4.5,8.5,26.0,0.0,97.0,-2.3,10,Houston Rockets
3,41998,1610612754,Indiana Pacers,13,9,4,0.692,48.4,32.8,74.2,0.441,6.5,18.0,0.363,21.5,28.2,0.763,11.6,29.8,41.5,20.7,15.8,6.6,5.2,4.5,25.9,0.2,93.6,3.6,10,Indiana Pacers
4,41998,1610612747,Los Angeles Lakers,8,3,5,0.375,48.0,35.3,79.6,0.443,4.8,15.6,0.304,18.8,29.3,0.641,12.1,28.3,40.4,19.5,14.0,6.6,6.4,4.1,25.3,0.3,94.0,-2.9,10,Los Angeles Lakers
5,41998,1610612748,Miami Heat,5,2,3,0.4,48.0,27.2,68.0,0.4,5.6,18.6,0.301,19.0,27.0,0.704,8.2,27.4,35.6,16.4,12.6,7.2,4.4,3.0,20.6,0.2,79.0,-4.0,10,Miami Heat
