
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
8,Hassan Adams,SG,6-4,220,June 20 1984,R,University of Arizona
2,Josh Boone,PF,6-10,237,November 21 1984,R,University of Connecticut
15,Vince Carter,SG,6-6,220,January 26 1977,8,University of North Carolina
35,Jason Collins,PF,7-0,255,December 2 1978,5,Stanford University
50,Eddie House,SG,6-1,180,May 14 1978,6,Arizona State University
9,Mile Ilic,C,7-1,230,June 2 1984,R,
24,Richard Jefferson,SF,6-7,233,June 21 1980,5,University of Arizona
5,Jason Kidd,PG,6-4,205,March 23 1973,12,University of California
12,Nenad Krstic,C,7-0,240,July 25 1983,2,
33,Mikki Moore,C,6-11,225,November 4 1975,8,University of Nebraska
7,Bostjan Nachbar,SF,6-9,221,July 3 1980,4,
22,Bernard Robinson,SF,6-6,210,December 26 1980,2,University of Michigan
30,Clifford Robinson,C,6-10,225,December 16 1966,17,University of Connecticut
1,Marcus Williams,PG,6-3,205,December 3 1985,R,University of Connecticut
21,Antoine Wright,SG,6-7,210,February 6 1984,1,Texas A&amp;M University
